 number of kpoints:        1936
 number of conduction states           2
 number of valence states           2
 # kx ky kz nocp nc nv  energy  xx  yy  zz  sp  sm
  1.322142  2.290016  0.000000        14        15        14  2.210793  4.763911  4.618348  0.000000  0.002303  9.379954
  1.322142  2.342660  0.000000        14        15        14  2.210806  4.749420  4.617040  0.000000  0.002063  9.364398
  1.367733  2.316338  0.000000        14        15        14  2.210837  4.542387  4.823203  0.000000  0.002107  9.363482
  0.683866  1.184491  0.000000        14        15        14  2.210842  4.763689  4.618326  0.000000  9.379713  0.002303
  0.683866  1.131847  0.000000        14        15        14  2.210855  4.749201  4.617062  0.000000  9.364203  0.002061
  0.638275  1.158169  0.000000        14        15        14  2.210879  4.542371  4.823229  0.000000  9.363492  0.002107
  1.322142  2.290016  0.000000        14        16        14  2.227659  0.000210  0.000203  0.000000  0.000000  0.000412
  1.322142  2.342660  0.000000        14        16        14  2.227679  0.000206  0.000200  0.000000  0.000000  0.000406
  0.683866  1.184491  0.000000        14        16        14  2.227695  0.000224  0.000217  0.000000  0.000441  0.000000
  1.367733  2.316338  0.000000        14        16        14  2.227710  0.000211  0.000225  0.000000  0.000000  0.000435
  0.683866  1.131847  0.000000        14        16        14  2.227719  0.000218  0.000212  0.000000  0.000430  0.000000
  0.638275  1.158169  0.000000        14        16        14  2.227744  0.000211  0.000225  0.000000  0.000436  0.000000
  1.367733  2.263694  0.000000        14        15        14  2.264521  4.308063  4.302954  0.000000  0.000007  8.611009
  0.638275  1.210813  0.000000        14        15        14  2.264560  4.308008  4.302925  0.000000  8.610926  0.000007
  1.276551  2.316338  0.000000        14        15        14  2.264586  4.295923  4.314513  0.000000  0.000010  8.610424
  0.729457  1.158169  0.000000        14        15        14  2.264638  4.295634  4.314488  0.000000  8.610113  0.000010
  1.367733  2.368982  0.000000        14        15        14  2.264729  4.310911  4.301121  0.000000  0.000017  8.612014
  0.638275  1.105525  0.000000        14        15        14  2.264763  4.310929  4.301187  0.000000  8.612099  0.000017
  1.367733  2.263694  0.000000        14        16        14  2.278033  0.000315  0.000315  0.000000  0.000000  0.000629
  0.638275  1.210813  0.000000        14        16        14  2.278064  0.000323  0.000324  0.000000  0.000647  0.000000
  1.276551  2.316338  0.000000        14        16        14  2.278096  0.000300  0.000300  0.000000  0.000000  0.000601
  0.729457  1.158169  0.000000        14        16        14  2.278129  0.000336  0.000338  0.000000  0.000674  0.000000
  1.367733  2.368982  0.000000        14        16        14  2.278244  0.000335  0.000335  0.000000  0.000000  0.000670
  0.638275  1.105525  0.000000        14        16        14  2.278275  0.000337  0.000338  0.000000  0.000675  0.000000
  1.276551  2.368982  0.000000        14        15        14  2.308027  4.142470  3.967532  0.000000  0.021015  8.088985
  0.729457  1.105525  0.000000        14        15        14  2.308075  4.142158  3.967517  0.000000  8.088666  0.021010
