 #energy(eV) sum-lft(s)  x-lft(s) y-lft(s) z-lft(s) sp-lft(s) sm-lft(s)
         2.3382     0.6137E-09     0.1320E-08     0.1147E-08       Infinity     0.6376E-07     0.6197E-09
         2.3443     0.1474E-07     0.2011E-07     0.5522E-07       Infinity     0.1608E-07     0.1773E-06
         2.3445     0.1732E-08     0.3767E-08     0.3207E-08       Infinity     0.1305E-06     0.1756E-08
         2.3446     0.1076E-11     0.1886E-11     0.2504E-11       Infinity     0.1081E-11     0.2161E-09
         2.3447     0.1826E-10     0.3825E-10     0.3495E-10       Infinity     0.3865E-09     0.1917E-10
         2.3526     0.6932E-07     0.3137E-05     0.7089E-07       Infinity     0.1780E-06     0.1130E-06
         2.3527     0.1731E-08     0.3655E-08     0.3287E-08       Infinity     0.1476E-05     0.1733E-08
         2.3579     0.5263E-09     0.5681E-09     0.7158E-08       Infinity     0.7883E-09     0.1584E-08
         2.3579     0.4569E-10     0.1373E-09     0.6848E-10       Infinity     0.4743E-10     0.1250E-08
         2.3632     0.2551E-11     0.4205E-11     0.6488E-11       Infinity     0.2621E-11     0.9556E-10
         2.3637     0.2893E-10     0.5096E-10     0.6691E-10       Infinity     0.3564E-10     0.1536E-09
         2.3637     0.9700E-12     0.1863E-11     0.2024E-11       Infinity     0.4191E-10     0.9929E-12
         2.3640     0.3820E-11     0.7244E-11     0.8080E-11       Infinity     0.1583E-09     0.3914E-11
         2.3655     0.4112E-12     0.8180E-12     0.8268E-12       Infinity     0.4118E-12     0.2852E-09
         2.3657     0.2429E-11     0.4165E-11     0.5826E-11       Infinity     0.4937E-10     0.2554E-11
         2.3676     0.1052E-06     0.1502E-06     0.3512E-06       Infinity     0.1385E-05     0.1139E-06
         2.3676     0.1458E-06     0.2833E-06     0.3004E-06       Infinity     0.1558E-06     0.2267E-05
         2.3688     0.2939E-11     0.7669E-11     0.4765E-11       Infinity     0.1967E-10     0.3455E-11
         2.3688     0.3668E-11     0.1135E-10     0.5418E-11       Infinity     0.4500E-11     0.1983E-10
         2.3734     0.1775E-08     0.3902E-08     0.3255E-08       Infinity     0.1780E-08     0.5407E-06
